GlobalIndex,Order,PathVector_1,PathVector_2,PathVector_3,WaveletIdx_FB1,WaveletIdx_FB2,ScaleIdx_FB1,ScaleIdx_FB2,RotationIdx_FB1,RotationIdx_FB2,FreqMag_FB1,FreqMag_FB2,FreqAngle_FB1_deg,FreqAngle_FB2_deg
1,0,0,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,0,1,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1,0,2,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1,0,3,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1,0,4,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1,0,5,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1,0,6,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1,0,7,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1,0,8,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1,0,9,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1,0,10,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1,0,11,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1,0,12,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,2,0,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,2,0,1,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,2,0,1,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2,0,1,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,2,0,1,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,2,0,1,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,2,0,2,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,2,0,2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,2,0,2,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,2,0,2,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,2,0,2,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,2,0,2,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,2,0,3,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,2,0,3,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,2,0,3,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,2,0,3,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,2,0,3,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,2,0,3,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,2,0,4,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,2,0,4,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,2,0,4,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,2,0,4,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,2,0,4,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,2,0,4,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,2,0,5,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,2,0,5,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,2,0,5,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,2,0,5,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,2,0,5,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,2,0,5,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,2,0,6,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,2,0,6,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,2,0,6,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,2,0,6,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,2,0,6,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,2,0,6,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
